ano,mes,chuva,evaporacao,insolacao,tempmed,umidrel,tempmax_abs,tempmax_med,tempmin_abs,tempmin_med
1989,12,128.4,132.9,233.5,25.4,66.3,35.0,30.8,16.8,21.1
1990,1,323.6,68.4,200.4,24.3,80.0,33.4,29.3,16.2,20.7
1990,2,65.0,94.6,242.5,24.3,71.0,33.6,30.2,14.8,20.0
1990,3,83.1,107.9,200.4,24.8,71.5,35.8,30.6,13.0,20.5
1990,4,383.0,59.9,154.4,22.3,80.3,32.4,27.3,12.3,18.8
1990,5,149.2,73.4,210.3,17.3,71.7,28.2,22.9,3.2,13.0
1990,6,173.0,60.7,150.8,15.2,78.1,25.4,20.3,2.6,11.4
1990,7,134.3,57.3,172.5,13.4,74.7,27.9,18.5,0.4,9.8
1990,8,311.0,111.8,216.9,18.1,62.1,30.2,24.0,3.0,13.4
1990,9,293.0,95.4,181.6,17.6,66.9,32.0,23.7,3.4,12.8
1990,10,206.0,99.1,197.0,23.2,71.2,35.8,28.6,15.2,18.9
1990,11,216.8,97.9,215.4,24.9,71.2,37.6,30.5,14.6,20.3
1990,12,183.6,121.6,251.0,24.9,66.5,35.6,30.5,14.6,19.9
1991,1,197.4,159.2,292.7,25.7,60.3,36.4,31.7,17.2,20.5
1991,2,57.8,126.5,259.7,24.9,58.9,34.0,31.1,13.0,19.3
1991,3,59.2,120.9,242.1,25.1,65.5,34.1,31.0,16.6,20.7
1991,4,213.1,90.8,216.9,22.1,69.2,32.4,27.7,9.0,17.7
1991,5,56.7,79.5,209.2,19.5,71.2,30.2,24.9,9.4,15.3
1991,6,374.4,68.6,179.9,17.4,76.0,28.8,22.8,5.6,13.7
1991,7,31.8,103.0,231.3,16.6,63.3,28.8,22.9,2.8,12.1
1991,8,29.0,121.5,182.0,19.1,59.4,33.0,24.8,-0.2,14.5
1991,9,109.3,144.3,191.7,21.9,57.5,34.2,28.0,10.9,16.9
1991,10,90.2,132.1,211.7,22.1,64.3,35.6,27.9,9.6,17.2
1991,11,67.8,169.1,247.5,24.1,55.9,36.2,30.3,15.8,18.6
1991,12,258.8,108.2,223.0,25.1,69.8,35.4,30.4,16.8,20.5
1992,1,48.0,142.5,273.4,25.7,61.9,34.8,31.8,15.4,20.4
1992,2,151.4,94.0,202.3,25.2,71.3,34.8,30.9,17.8,20.9
1992,3,235.5,65.4,164.7,23.1,79.2,32.6,28.2,17.4,19.5
1992,4,170.4,75.0,181.5,20.6,73.9,32.1,26.1,10.8,16.2
1992,5,500.1,57.9,132.8,18.7,80.1,28.4,23.1,6.2,15.4
1992,6,181.8,79.3,150.4,19.0,74.4,30.0,24.2,7.6,15.3
1992,7,170.4,65.1,152.2,13.9,75.2,28.2,19.2,0.4,9.8
1992,8,149.5,86.4,184.4,16.7,70.3,29.6,22.4,2.8,12.3
